ID,date,name,value,line
1,07/01/2018,Бульвар Рокоссовского,46,1
1,14/01/2018,Бульвар Рокоссовского,56,1
1,21/01/2018,Бульвар Рокоссовского,88,1
1,28/01/2018,Бульвар Рокоссовского,59,1
1,04/02/2018,Бульвар Рокоссовского,54,1
1,11/02/2018,Бульвар Рокоссовского,41,1
1,18/02/2018,Бульвар Рокоссовского,55,1
1,25/02/2018,Бульвар Рокоссовского,74,1
1,04/03/2018,Бульвар Рокоссовского,55,1
1,11/03/2018,Бульвар Рокоссовского,41,1
1,18/03/2018,Бульвар Рокоссовского,56,1
1,25/03/2018,Бульвар Рокоссовского,50,1
1,01/04/2018,Бульвар Рокоссовского,41,1
1,08/04/2018,Бульвар Рокоссовского,44,1
1,15/04/2018,Бульвар Рокоссовского,50,1
1,22/04/2018,Бульвар Рокоссовского,62,1
1,29/04/2018,Бульвар Рокоссовского,48,1
1,06/05/2018,Бульвар Рокоссовского,42,1
1,13/05/2018,Бульвар Рокоссовского,56,1
1,20/05/2018,Бульвар Рокоссовского,42,1
1,27/05/2018,Бульвар Рокоссовского,50,1
1,03/06/2018,Бульвар Рокоссовского,47,1
1,10/06/2018,Бульвар Рокоссовского,53,1
1,17/06/2018,Бульвар Рокоссовского,76,1
1,24/06/2018,Бульвар Рокоссовского,68,1
1,01/07/2018,Бульвар Рокоссовского,68,1
1,08/07/2018,Бульвар Рокоссовского,71,1
1,15/07/2018,Бульвар Рокоссовского,54,1
1,22/07/2018,Бульвар Рокоссовского,54,1
1,29/07/2018,Бульвар Рокоссовского,100,1
1,05/08/2018,Бульвар Рокоссовского,61,1
1,12/08/2018,Бульвар Рокоссовского,59,1
1,19/08/2018,Бульвар Рокоссовского,33,1
1,26/08/2018,Бульвар Рокоссовского,74,1
1,02/09/2018,Бульвар Рокоссовского,70,1
1,09/09/2018,Бульвар Рокоссовского,55,1
1,16/09/2018,Бульвар Рокоссовского,90,1
1,23/09/2018,Бульвар Рокоссовского,63,1
1,30/09/2018,Бульвар Рокоссовского,54,1
1,07/10/2018,Бульвар Рокоссовского,79,1
1,14/10/2018,Бульвар Рокоссовского,85,1
1,21/10/2018,Бульвар Рокоссовского,62,1
1,28/10/2018,Бульвар Рокоссовского,55,1
2,07/01/2018,Черкизовская,44,1
2,14/01/2018,Черкизовская,60,1
2,21/01/2018,Черкизовская,100,1
2,28/01/2018,Черкизовская,50,1
2,04/02/2018,Черкизовская,81,1
2,11/02/2018,Черкизовская,36,1
2,18/02/2018,Черкизовская,71,1
2,25/02/2018,Черкизовская,43,1
2,04/03/2018,Черкизовская,61,1
2,11/03/2018,Черкизовская,83,1
2,18/03/2018,Черкизовская,75,1
2,25/03/2018,Черкизовская,60,1
2,01/04/2018,Черкизовская,46,1
2,08/04/2018,Черкизовская,44,1
2,15/04/2018,Черкизовская,58,1
2,22/04/2018,Черкизовская,63,1
2,29/04/2018,Черкизовская,63,1
2,06/05/2018,Черкизовская,44,1
2,13/05/2018,Черкизовская,46,1
2,20/05/2018,Черкизовская,50,1
2,27/05/2018,Черкизовская,54,1
2,03/06/2018,Черкизовская,64,1
2,10/06/2018,Черкизовская,58,1
2,17/06/2018,Черкизовская,65,1
2,24/06/2018,Черкизовская,49,1
2,01/07/2018,Черкизовская,66,1
2,08/07/2018,Черкизовская,52,1
2,15/07/2018,Черкизовская,64,1
2,22/07/2018,Черкизовская,39,1
2,29/07/2018,Черкизовская,48,1
2,05/08/2018,Черкизовская,64,1
2,12/08/2018,Черкизовская,57,1
2,19/08/2018,Черкизовская,83,1
2,26/08/2018,Черкизовская,59,1
2,02/09/2018,Черкизовская,72,1
2,09/09/2018,Черкизовская,52,1
2,16/09/2018,Черкизовская,52,1
2,23/09/2018,Черкизовская,68,1
2,30/09/2018,Черкизовская,56,1
2,07/10/2018,Черкизовская,48,1
2,14/10/2018,Черкизовская,73,1
2,21/10/2018,Черкизовская,53,1
2,28/10/2018,Черкизовская,54,1
3,07/01/2018,Преображенская площадь,75,1
3,14/01/2018,Преображенская площадь,95,1
3,21/01/2018,Преображенская площадь,83,1
3,28/01/2018,Преображенская площадь,87,1
3,04/02/2018,Преображенская площадь,90,1
3,11/02/2018,Преображенская площадь,86,1
3,18/02/2018,Преображенская площадь,69,1
3,25/02/2018,Преображенская площадь,80,1
3,04/03/2018,Преображенская площадь,83,1
3,11/03/2018,Преображенская площадь,81,1
3,18/03/2018,Преображенская площадь,61,1
3,25/03/2018,Преображенская площадь,60,1
3,01/04/2018,Преображенская площадь,83,1
3,08/04/2018,Преображенская площадь,87,1
3,15/04/2018,Преображенская площадь,68,1
3,22/04/2018,Преображенская площадь,77,1
3,29/04/2018,Преображенская площадь,59,1
3,06/05/2018,Преображенская площадь,73,1
3,13/05/2018,Преображенская площадь,81,1
3,20/05/2018,Преображенская площадь,84,1
3,27/05/2018,Преображенская площадь,68,1
3,03/06/2018,Преображенская площадь,85,1
3,10/06/2018,Преображенская площадь,85,1
3,17/06/2018,Преображенская площадь,79,1
3,24/06/2018,Преображенская площадь,60,1
3,01/07/2018,Преображенская площадь,80,1
3,08/07/2018,Преображенская площадь,84,1
3,15/07/2018,Преображенская площадь,69,1
3,22/07/2018,Преображенская площадь,67,1
3,29/07/2018,Преображенская площадь,96,1
3,05/08/2018,Преображенская площадь,83,1
3,12/08/2018,Преображенская площадь,79,1
3,19/08/2018,Преображенская площадь,100,1
3,26/08/2018,Преображенская площадь,93,1
3,02/09/2018,Преображенская площадь,90,1
3,09/09/2018,Преображенская площадь,92,1
3,16/09/2018,Преображенская площадь,88,1
3,23/09/2018,Преображенская площадь,79,1
3,30/09/2018,Преображенская площадь,97,1
3,07/10/2018,Преображенская площадь,88,1
3,14/10/2018,Преображенская площадь,67,1
3,21/10/2018,Преображенская площадь,87,1
3,28/10/2018,Преображенская площадь,77,1
4,07/01/2018,Сокольники,43,1
4,14/01/2018,Сокольники,27,1
4,21/01/2018,Сокольники,33,1
4,28/01/2018,Сокольники,34,1
