Name,popularity_mean,Line,X,Y,ID,StationNumber,popularity_calc
Бульвар Рокоссовского,59.093023255813954,1,1491.849354,393.57142860000016,1,1,
Черкизовская,58.7906976744186,1,1471.613266,452.04489800000016,2,2,
Преображенская площадь,80.34883720930233,1,1436.762226,489.1530612,3,3,
Сокольники,49.395348837209305,1,1396.290051,529.6346938999999,4,4,
Красносельская,70.44186046511628,1,1358.066329,566.7428571,5,5,
Комсомольская,69.09302325581395,1,1301.854975,620.7183673,6,6,
Красные Ворота,71.72093023255815,1,1247.892074,676.9428571000002,7,7,
Чистые пруды,64.69767441860465,1,1196.177628,728.6693878,8,8,
Лубянка,70.69767441860465,1,1100.618325,823.1265306,9,9,
Охотный Ряд,61.48837209302326,1,1001.686341,922.0816327,10,10,
Библиотека имени Ленина,54.53488372093023,1,874.6486789999999,1048.02449,11,11,
Кропоткинская,61.13953488372093,1,739.7414278,1094.1285710000002,12,12,
Парк культуры,65.62790697674419,1,654.3001686000001,1093.004082,13,13,
Фрунзенская,77.55813953488372,1,526.1382798999998,1166.095918,14,14,
Спортивная,63.58139534883721,1,450.81506460000014,1238.063265,15,15,
Воробьёвы горы,28.837209302325583,1,411.4671164,1357.259184,16,16,
Университет,44.51162790697674,1,413.7155705,1423.604082,17,17,
Проспект Вернадского,57.116279069767444,1,414.83979760000005,1492.197959,18,18,
Юго-Западная,79.62790697674419,1,415.9640247,1577.659184,19,19,
Тропарёво,59.04651162790697,1,415.9640247,1644.004082,20,20,
Румянцево,59.883720930232556,1,417.0882518,1711.473469,21,21,
Саларьево,72.27906976744185,1,418.3350896,1777.3174,22,22,
Ховрино,24.906976744186046,2,582.201087,48.91738594,23,1,
Речной вокзал,69.95348837209302,2,582.201087,127.72873,24,2,
Водный стадион,73.04651162790698,2,582.5242718,187.4605103,25,3,
Войковская,71.67441860465117,2,582.5242718,324.708384,26,4,
Сокол,72.4186046511628,2,583.1992276000002,402.307243,27,5,
Аэропорт,0.0,2,583.1992276000002,448.00934580000006,28,6,
Динамо,71.04651162790698,2,583.1992276000002,502.0794393,29,7,
Белорусская,73.32558139534883,2,678.4679755,641.760514,30,8,
Маяковская,76.30232558139535,2,737.0453813999999,699.0490654,31,9,
Тверская,61.093023255813954,2,864.4995172,829.7184579,32,10,
Театральная,12.604651162790697,2,1013.839717,950.7324766,33,11,
Новокузнецкая,78.44186046511628,2,1152.236884,1096.206776,34,12,
Павелецкая,75.5813953488372,2,1151.593177,1273.2219630000004,35,13,
Автозаводская,72.20930232558139,2,1150.949469,1503.663551,36,14,
Технопарк,63.7906976744186,2,1151.533932,1578.004499,37,15,
Коломенская,79.4186046511628,2,1151.533932,1647.421822,38,16,
Каширская,75.86046511627907,2,1151.533932,1718.07874,39,17,
Кантемировская,71.06976744186046,2,1151.533932,1785.016873,40,18,
Царицыно,57.13953488372093,2,1151.533932,1854.434196,41,19,
Орехово,60.53488372093023,2,1152.153703,1921.992126,42,20,
Домодедовская,75.09302325581395,2,1152.773474,1992.029246,43,21,
Красногвардейская,61.116279069767444,2,1384.56771,2059.587177,44,22,
Алма-Атинская,40.093023255813954,2,1543.848776,2058.347582,45,23,
Пятницкое шоссе,56.13953488372093,3,119.8295312,318.3666970000001,46,1,
Митино,68.74418604651163,3,119.8295312,388.0564149,47,2,
Волоколамская,46.674418604651166,3,119.3281524,439.1956324,48,3,
Мякинино,67.65116279069767,3,118.8267736,490.8362147,49,4,
Строгино,50.16279069767442,3,118.8267736,543.9808917,50,5,
Крылатское,66.6046511627907,3,118.32539479999998,595.1201092,51,6,
Молодёжная,0.0,3,119.0181007,646.2223222,52,7,
Кунцевская,65.27906976744185,3,118.5221919,735.9891989,53,8,
Славянский бульвар,62.25581395348837,3,176.0476072,1178.376238,54,9,
Парк Победы,57.348837209302324,3,242.9952889,1177.880288,55,10,
Киевская,68.95348837209302,3,564.3441607000002,978.5085509,56,11,
Смоленская,66.46511627906976,3,709.1495165,978.5085509,57,12,
Арбатская,66.55813953488372,3,876.2707662,978.5085509,58,13,
Площадь Революции,44.72093023255814,3,1025.043392,978.5085509,59,14,
Курская,59.30232558139535,3,1373.667245,819.3087308999999,60,15,
Бауманская,71.67441860465117,3,1445.0781060000006,748.3879387999997,61,16,
Электрозаводская,0.0,3,1480.783536,713.1755176,62,17,
Семёновская,74.25581395348837,3,1517.976692,675.4833482999999,63,18,
Партизанская,73.62790697674419,3,1615.670717,577.7812781,64,19,
Измайловская,64.0,3,1662.286139,500.4131413,65,20,
Первомайская,15.13953488372093,3,1662.286139,413.6219622,66,21,
Щёлковская,75.72093023255815,3,1661.790231,321.8712871,67,22,
Кунцевская,65.27906976744185,4,139.5802831,757.4419841,68,1,
Пионерская,70.11627906976744,4,140.556369,788.1886625,69,2,
Филёвский парк,49.93023255813954,4,140.068326,829.6722764,70,3,
Багратионовская,69.55813953488372,4,140.068326,1022.44907,71,4,
Фили,62.093023255813954,4,140.068326,1063.932684,72,5,
Кутузовская,59.02325581395349,4,348.4626647,1105.416298,73,6,
Студенческая,48.74418604651163,4,398.2430454,1056.124004,74,7,
Международная,59.93023255813954,4,303.6175711,922.4243845,75,8,
Выставочная,68.72093023255815,4,415.374677,922.4243845,76,9,
Киевская,68.95348837209302,4,565.1537335,922.8883968,77,10,
Смоленская,66.46511627906976,4,708.6383602000003,922.4003543,78,11,
Арбатская,66.55813953488372,4,778.9165447,935.0894597,79,12,
Александровский сад,30.837209302325583,4,855.5392875,1012.68822,80,13,
Парк культуры,65.62790697674419,5,676.2471772000001,1115.54918,81,1,
Октябрьская,22.674418604651162,5,773.5577910000003,1212.85693,82,2,
Добрынинская,53.7906976744186,5,916.444262,1278.139344,83,3,
Павелецкая,75.5813953488372,5,1168.137959,1248.166915,84,4,
Таганская,78.88372093023256,5,1354.957914,1057.2466470000004,85,5,
Курская,59.30232558139535,5,1374.2558,789.54769,86,6,
Комсомольская,69.09302325581395,5,1302.812564,652.4135618,87,7,
Проспект Мира,65.95348837209302,5,1149.382716,535.7744586,88,8,
Новослободская,70.86046511627907,5,866.6666667000003,530.4249440000001,89,9,
Белорусская,73.32558139534883,5,678.4104875,673.0802974,90,10,
Краснопресненская,45.883720930232556,5,615.8899610000002,818.6989568,91,11,
Киевская,68.95348837209302,5,613.4264011,950.9061103,92,12,
Медведково,78.69767441860465,6,1228.122345,41.20817271,93,1,
Бабушкинская,80.67441860465117,6,1229.3967710000004,102.383192,94,2,
Свиблово,44.83720930232558,6,1228.547154,164.8326908,95,3,
Ботанический сад,44.906976744186046,6,1228.547154,246.3993832,96,4,
ВДНХ,65.97674418604652,6,1228.547154,370.0239013,97,5,
Алексеевская,76.81395348837209,6,1228.547154,412.0817271,98,6,
Рижская,42.651162790697676,6,1214.953271,441.39475710000005,99,7,
Проспект Мира,65.95348837209302,6,1149.107901,505.5435621,100,8,
Сухаревская,71.09302325581395,6,1104.502974,616.4232845,101,9,
Тургеневская,62.372093023255815,6,1161.002549,729.002313,102,10,
Китай-город,62.2093023255814,6,1193.7128289999996,884.9136469,103,11,
Третьяковская,74.72093023255815,6,1115.972812,1111.77101,104,12,
Октябрьская,22.674418604651162,6,773.5768904,1244.316885,105,13,
Шаболовская,70.11627906976744,6,711.1299915,1305.491904,106,14,
Ленинский проспект,65.02325581395348,6,639.3372982000002,1445.25983,107,15,
Академическая,56.18604651162791,6,640.1869159,1574.83192,108,16,
Профсоюзная,0.0,6,640.1869159,1624.111796,109,17,
Новые Черёмушки,68.25581395348837,6,640.6117247000002,1674.666153,110,18,
Калужская,63.93023255813954,6,640.6117247000002,1724.795682,111,19,
Беляево,82.16279069767442,6,636.7884452000002,1775.774865,112,20,
Коньково,55.0,6,637.6380629,1825.904395,113,21,
Тёплый Стан,54.627906976744185,6,637.6380629,1876.458751,114,22,
Ясенево,24.697674418604652,6,638.4876805,1927.013107,115,23,
Новоясеневская,49.395348837209305,6,663.126593,1974.168851,116,24,
Планерная,74.69767441860465,7,356.0334528,132.8516912,117,1,
Сходненская,69.4186046511628,7,356.98924730000016,179.206418,118,2,
Тушинская,72.86046511627907,7,356.98924730000016,227.9505637,119,3,
Спартак,21.88372093023256,7,356.0334528,274.3052905,120,4,
Щукинская,43.95348837209303,7,355.973025,324.6276224,121,5,
Октябрьское Поле,79.18604651162791,7,355.0096339,524.027972,122,6,
Полежаевская,73.32558139534883,7,432.0809249,663.7045455,123,7,
Беговая,28.511627906976745,7,504.3352601,736.9143357,124,8,
Улица 1905 года,34.2093023255814,7,546.2427746000002,779.298951,125,9,
Баррикадная,65.76744186046511,7,638.2466281000002,797.6013986,126,10,
Пушкинская,40.0,7,883.4296724,797.1197552,127,11,
Кузнецкий Мост,39.46511627906977,7,1084.296724,797.6013986,128,12,
Китай-город,62.2093023255814,7,1224.95183,884.7788462000003,129,13,
Таганская,78.88372093023256,7,1375.722543,1035.533217,130,14,
Пролетарская,58.74418604651163,7,1498.5549130000006,1157.870629,131,15,
Волгоградский проспект,67.06976744186046,7,1558.285164,1218.076049,132,16,
Текстильщики,63.76744186046512,7,1635.356455,1293.694056,133,17,
Кузьминки,63.02325581395349,7,1663.294798,1356.307692,134,18,
Рязанский проспект,60.02325581395349,7,1663.294798,1434.333916,135,19,
Выхино,66.86046511627907,7,1662.331407,1529.699301,136,20,
Лермонтовский проспект,61.674418604651166,7,1662.8131019999994,1607.725524,137,21,
Жулебино,56.651162790697676,7,1662.331407,1703.572552,138,22,
Котельники,50.55813953488372,7,1661.8497109999994,1780.63549,139,23,
Третьяковская,74.72093023255815,8,1753.109453,707.717833,140,1,
Марксистская,66.48837209302326,8,1720.771144,742.5440181,141,2,
Площадь Ильича,66.16279069767442,8,1684.701493,777.9920993,142,3,
Авиамоторная,54.395348837209305,8,1623.756219,837.6941308999999,143,4,
Шоссе Энтузиастов,47.0,8,1577.736318,886.2020315999997,144,5,
Перово,65.46511627906976,8,1513.681592,947.7697517,145,6,
Новогиреево,70.55813953488372,8,1391.169154,1070.905192,146,7,
Новокосино,66.44186046511628,8,1136.19403,1132.472912,147,8,
Рассказовка,11.232558139534884,8A,229.4860234,1777.448445,148,1,
Новопеределкино,17.674418604651162,8A,229.0351668,1724.693126,149,2,
Боровское шоссе,19.651162790697676,8A,227.2317403,1670.585106,150,3,
Солнцево,14.093023255813954,8A,225.8791704,1616.927987,151,4,
Говорово,20.511627906976745,8A,225.42831380000004,1562.819967,152,5,
Озёрная,31.511627906976745,8A,223.7288136,1507.90484,153,6,
Мичуринский проспект,20.11627906976744,8A,222.8248588,1453.211649,154,7,
Раменки,48.651162790697676,8A,221.4689266,1398.066448,155,8,
Ломоносовский проспект,44.93023255813954,8A,221.920904,1345.633306,156,9,
Минская,23.209302325581394,8A,221.4689266,1281.447908,157,10,
Парк Победы,57.348837209302324,8A,221.567739,1199.421875,158,11,
Шелепиха,34.348837209302324,8A,359.7547127,820.8219291,159,12,
Хорошёвская,17.13953488372093,8A,431.9781967,694.9958780000003,160,13,
ЦСКА,13.69767441860465,8A,534.1812401000002,589.1566364,161,14,
Петровский парк,15.44186046511628,8A,604.1335452999998,524.1995053999998,162,15,
Алтуфьево,79.34883720930233,9,949.5586381,47.91304348,163,1,
Бибирево,51.48837209302326,9,949.5586381,100.8695652,164,2,
Отрадное,71.97674418604652,9,949.5586381,155.71739130000003,165,3,
Владыкино,48.58139534883721,9,942.6229508,204.2608696,166,4,
Петровско-Разумовская,63.25581395348837,9,885.2459016,264.1521739,167,5,
Тимирязевская,69.20930232558139,9,803.2786884999997,369.43478260000006,168,6,
Дмитровская,66.32558139534883,9,803.9092055,424.9130435,169,7,
Савёловская,81.4186046511628,9,803.2786884999997,469.673913,170,8,
Менделеевская,71.44186046511628,9,866.3303909,561.0869565,171,9,
Цветной бульвар,50.02325581395349,9,972.2572509,668.2608696000002,172,10,
Чеховская,70.09302325581395,9,901.6393443,829.0217391,173,11,
Боровицкая,55.46511627906977,9,815.889029,1013.108696,174,12,
Полянка,60.44186046511628,9,895.964691,1216.7391300000004,175,13,
Серпуховская,69.25581395348837,9,895.3341740000003,1299.9565220000004,176,14,
Тульская,84.04651162790698,9,895.964691,1408.391304,177,15,
Нагатинская,75.67441860465117,9,895.964691,1601.304348,178,16,
Нагорная,49.93023255813954,9,895.964691,1642.913043,179,17,
Нахимовский проспект,45.906976744186046,9,896.5952081,1686.413043,180,18,
Севастопольская,51.97674418604651,9,895.964691,1805.565217,181,19,
Чертановская,52.906976744186046,9,896.5952081,1858.521739,182,20,
Южная,75.83720930232558,9,896.5952081,1900.1304350000007,183,21,
Пражская,77.25581395348837,9,897.2257251,1938.586957,184,22,
Улица Академика Янгеля,62.30232558139535,9,897.2257251,1978.934783,185,23,
Аннино,76.0,9,897.2257251,2036.304348,186,24,
Бульвар Дмитрия Донского,60.46511627906977,9,896.5952081,2074.130435,187,25,
Селигерская,15.86046511627907,10,755.6283258,49.12332838,188,1,
Верхние Лихоборы,22.023255813953487,10,755.6283258,121.9895988,189,2,
Окружная,16.976744186046513,10,826.8522309,266.9034175,190,3,
Петровско-Разумовская,63.25581395348837,10,884.1588211000003,294.7399703000001,191,4,
Фонвизинская,57.55813953488372,10,961.1133852,319.3016345000001,192,5,
Бутырская,48.72093023255814,10,1002.046664,401.1738484,193,6,
Марьина роща,63.23255813953488,10,1002.046664,439.653789,194,7,
Достоевская,51.69767441860465,10,1001.227998,478.1337296,195,8,
Трубная,69.97674418604652,10,1002.046664,655.7964339,196,9,
Сретенский бульвар,0.0,10,1178.878428,696.7325409,197,10,
Чкаловская,65.0,10,1339.336881,803.9851412,198,11,
Римская,60.41860465116279,10,1482.603357,948.8989599,199,12,
Крестьянская застава,42.06976744186046,10,1467.048711,1157.673105,200,13,
Дубровка,66.6046511627907,10,1406.467458,1377.909361,201,14,
Кожуховская,66.72093023255815,10,1407.497963,1493.2426039999998,202,15,
Печатники,60.46511627906977,10,1405.867971,1559.264793,203,16,
Волжская,60.81395348837209,10,1406.682967,1626.102071,204,17,
Люблино,64.83720930232558,10,1405.867971,1694.569527,205,18,
Братиславская,59.23255813953488,10,1406.682967,1763.036982,206,19,
Марьино,63.95348837209303,10,1406.682967,1829.059172,207,20,
Борисово,29.348837209302324,10,1405.867971,1895.89645,208,21,
Шипиловская,58.86046511627907,10,1405.867971,1963.548817,209,22,
Зябликово,54.13953488372093,10,1406.682967,2037.721893,210,23,
Деловой центр,21.88372093023256,11,394.438723,944.4242991,211,1,
Шелепиха,34.348837209302324,11,359.7547127,820.8219291,212,2,
Хорошёвская,17.13953488372093,11,431.9781967,694.9958780000003,213,3,
